frase,situacao
"Sinto uma pressão forte no peito que irradia para o braço esquerdo há algumas horas e não passa.",alto risco
"Tenho uma dor no peito que se espalha para o braço esquerdo e estou suando muito frio.",alto risco
"A dor no tórax começa no meio do peito e vai até o ombro esquerdo, já faz duas horas assim.",alto risco
"Sinto um aperto no peito que irradia para a mandíbula e o braço esquerdo ao mesmo tempo.",alto risco
"Tenho dor no tórax com irradiação para o braço esquerdo e uma sensação de peso no peito.",alto risco
"A pressão no peito irradia para o braço esquerdo e tenho enjoo desde que começou.",alto risco
"Sinto dor no peito que vai até o braço esquerdo e uma dormência nos dedos da mão esquerda.",alto risco
"Tenho um aperto no tórax que irradia para o pescoço e o braço esquerdo faz mais de uma hora.",alto risco
"Dor intensa no peito com irradiação para o braço esquerdo e falta de ar ao mesmo tempo.",alto risco
"Sinto pressão no tórax que se irradia para as costas e o braço esquerdo, com suor frio.",alto risco
"Acordei com dor forte no peito, sudorese intensa e náusea, não consigo me mover direito.",alto risco
"Tenho uma dor esmagadora no peito, estou vomitando e suando muito, sinto que algo está muito errado.",alto risco
"Dor forte no peito, suor frio escorrendo pelo rosto e vontade de vomitar há uns quarenta minutos.",alto risco
"Sinto uma pressão muito forte no tórax, náusea intensa e sudorese desde que acordei.",alto risco
"O peito está doendo muito, estou com suor frio e já vomitei duas vezes nos últimos minutos.",alto risco
"Dor esmagadora no peito com suor frio e náusea, não consigo achar posição confortável.",alto risco
"Tenho dor intensa no peito acompanhada de enjoo, sudorese fria e fraqueza nas pernas.",alto risco
"Acordei com pressão forte no tórax, estou suando frio e sinto náusea o tempo todo.",alto risco
"Dor muito forte no peito, sudorese intensa e náusea que não passa, estou muito assustado.",alto risco
"Sinto um aperto enorme no peito há uma hora, com suor frio e vontade de vomitar.",alto risco
"Tenho falta de ar intensa mesmo deitado em repouso e não consigo respirar direito.",alto risco
"Acordo durante a noite sufocando, preciso sentar ou levantar para conseguir respirar.",alto risco
"Não consigo respirar nem descansando, a falta de ar é constante e piorando a cada hora.",alto risco
"Sinto falta de ar em repouso, precisei colocar mais dois travesseiros para dormir à noite.",alto risco
"A dificuldade para respirar está presente mesmo sem fazer nada, e piorou muito nos últimos dias.",alto risco
"Fico sem ar mesmo sentado, qualquer esforço mínimo piora muito a minha respiração.",alto risco
"Tenho dispneia intensa em repouso que não melhora nem quando paro tudo que estou fazendo.",alto risco
"Acordo sufocado de madrugada e preciso me sentar para conseguir respirar com menos dificuldade.",alto risco
"Falta de ar constante mesmo em repouso, estou sentindo como se não conseguisse encher os pulmões.",alto risco
"Sinto falta de ar intensa até parado, e à noite piora muito, precisei dormir sentado.",alto risco
"Desmaiei de repente sem nenhum aviso e quando acordei não sabia onde estava.",alto risco
"Tive uma perda de consciência repentina, cai no chão e as pessoas ao redor disseram que ficou assustador.",alto risco
"Sinto tontura muito intensa e quase desmaiei, a visão ficou escura por alguns segundos.",alto risco
"Tive síncope no meio da rua, caí e levei alguns minutos para me recuperar completamente.",alto risco
"Quase desmaiei duas vezes hoje, a cabeça rodou muito e minhas pernas fraquejaram.",alto risco
"Perdi a consciência rapidamente enquanto estava em pé e só me lembro de cair no chão.",alto risco
"Tive episódio de desmaio súbito sem causa aparente e acordei no chão sem entender o que aconteceu.",alto risco
"A tontura foi tão intensa que caí, perdi a consciência por alguns momentos e só voltei com ajuda.",alto risco
"Sinto tontura muito forte com escurecimento da visão e quase perdi os sentidos algumas vezes.",alto risco
"Quase desmaiei hoje cedo, a visão escureceu, as pernas fraquejaram e só não cai porque me apoiei.",alto risco
"Minha pressão está em dezoito por doze, tenho dor de cabeça intensa na nuca e visão turva.",alto risco
"Pressão muito alta, dezoito e meio por doze, com dor forte na cabeça e visão embaçada.",alto risco
"Tenho dor de cabeça fortíssima na nuca, pressão altíssima e sinto minha visão ficar turva.",alto risco
"A pressão subiu demais, está em dezanove por treze, com cefaleia intensa e mal-estar.",alto risco
"Sinto dor de cabeça muito forte, pressão acima de dezoito, e minha visão está comprometida.",alto risco
"Crise hipertensiva com dor intensa na cabeça, visão turva e pressão que não cede com medicação.",alto risco
"Pressão muito elevada, dezenove por doze, dor de cabeça intensa e sensação de que vou desmaiar.",alto risco
"Dor de cabeça fortíssima na região da nuca, pressão em vinte por quatorze, com náusea.",alto risco
"Tenho pressão em dezoito por onze, dor intensa na cabeça e minha visão está borrada.",alto risco
"Sinto cefaleia muito forte, pressão fora do controle e visão turva há algumas horas.",alto risco
"Meu coração está batendo de forma muito irregular, sinto tonturas e quase desmaiei.",alto risco
"Tenho palpitações muito intensas com batimentos totalmente irregulares e falta de ar junto.",alto risco
"O coração está acelerado de forma irregular, sinto fraqueza intensa e pressão baixando.",alto risco
"Sinto o coração batendo de forma caótica, com tontura intensa e mal-estar generalizado.",alto risco
"Arritmia muito intensa, coração saltando batidas, com falta de ar e tontura ao mesmo tempo.",alto risco
"Batimentos cardíacos muito irregulares com desconforto no peito e queda da pressão arterial.",alto risco
"Coração disparado e irregular, sinto fraqueza nas pernas, tontura e o peito apertando.",alto risco
"Tenho palpitações irregulares intensas com falta de ar e sensação de que o coração vai parar.",alto risco
"O coração bate de forma muito irregular há horas, estou tonto, fraco e com dificuldade para respirar.",alto risco
"Sinto arritmia forte com batimentos descompassados, fraqueza intensa e quase perdi a consciência.",alto risco
"Meus pés e tornozelos incham muito, acordo sem conseguir respirar e estou cada vez mais cansado.",alto risco
"Tenho inchaço nos pés, nas pernas e acima dos tornozelos, com falta de ar intensa e fadiga.",alto risco
"O inchaço nas pernas piorou muito, a barriga está aumentando e não consigo respirar deitado.",alto risco
"Sinto falta de ar intensa, inchaço nas pernas e meu peso aumentou três quilos em dois dias.",alto risco
"Tenho edema importante nos pés e tornozelos, cansaço extremo e falta de ar mesmo em repouso.",alto risco
"Inchaço nas duas pernas até a coxa, dificuldade respiratória intensa e coração acelerado.",alto risco
"Falta de ar grave com inchaço nos membros inferiores, estou cada vez mais cansado e fraco.",alto risco
"O edema nas pernas piorou rapidamente, tenho falta de ar e não consigo mais fazer atividades simples.",alto risco
"Inchaço acentuado nos pés e tornozelos com falta de ar intensa e fadiga que não melhora.",alto risco
"Sinto falta de ar em repouso e o inchaço nas pernas aumentou bastante nos últimos dois dias.",alto risco
"Fui ao médico para consulta de rotina e não tenho nenhuma queixa específica no momento.",baixo risco
"Estou aqui para check-up anual, me sinto bem e não noto nada diferente no meu corpo.",baixo risco
"Vim para retorno médico de rotina, não tenho sintomas e os exames anteriores estavam normais.",baixo risco
"Consulta de acompanhamento sem queixas, pressão normal, sinto-me bem e ativo.",baixo risco
"Retorno de rotina sem sintomas novos, estou controlado com a medicação e me sentindo bem.",baixo risco
"Vim fazer exames preventivos anuais, não tenho queixas e minha saúde está estável.",baixo risco
"Consulta de rotina para renovar receitas, não tenho nada a relatar, estou me sentindo ótimo.",baixo risco
"Retorno cardiológico de rotina, sem queixas, pratico exercícios regularmente e me sinto bem.",baixo risco
"Vim para acompanhamento de rotina, exames em dia, pressão controlada e sem sintomas.",baixo risco
"Consulta preventiva sem nenhuma queixa, estou bem, fazendo caminhadas e me alimentando melhor.",baixo risco
"Sinto cansaço no fim do dia depois de um dia de trabalho muito longo, mas melhora ao dormir.",baixo risco
"Ando um pouco cansado por causa do estresse do trabalho, mas descanso bem e melhora no fim de semana.",baixo risco
"Cansaço leve que aparece no final do dia, principalmente depois de reuniões longas e estressantes.",baixo risco
"Tenho me sentido cansado ultimamente por causa da correria do trabalho, mas durmo bem à noite.",baixo risco
"Sinto um cansaço normal de quem trabalha muito, melhora com uma boa noite de sono.",baixo risco
"Estou com cansaço leve que atribuo ao estresse do trabalho, sem outros sintomas associados.",baixo risco
"Cansaço ao longo do dia que melhora com repouso, provavelmente por excesso de trabalho.",baixo risco
"Tenho dormido pouco por causa do trabalho e sinto cansaço, mas não tenho dor ou desconforto.",baixo risco
"Sensação de cansaço leve no fim do dia, sem falta de ar ou dor, melhora com descanso.",baixo risco
"Cansaço normal associado à rotina intensa de trabalho, sem sintomas cardíacos ou respiratórios.",baixo risco
"Sinto falta de ar ao subir escadas, mas melhora rapidamente ao parar e descansar.",baixo risco
"Fico um pouco sem ar ao fazer exercícios mais pesados, mas ao parar passa completamente.",baixo risco
"Dispneia leve ao subir ladeira íngreme, que se resolve sozinha com alguns minutos de repouso.",baixo risco
"Um pouco de falta de ar ao correr, normal para quem começou a se exercitar recentemente.",baixo risco
"Sinto falta de ar ao fazer esforço físico intenso, mas em repouso respiro completamente normal.",baixo risco
"Fico sem ar ao subir vários lances de escada, porém a respiração normaliza rapidamente depois.",baixo risco
"Dispneia leve durante atividade física que já existia antes, controlada e sem piora recente.",baixo risco
"Falta de ar ao fazer atividades mais intensas, mas desaparece completamente com repouso.",baixo risco
"Fico um pouco sem ar ao caminhar rápido, mas melhora ao desacelerar o ritmo.",baixo risco
"Sinto falta de ar ao subir escadas, que cede rapidamente ao parar, sem outros sintomas.",baixo risco
"Meu coração acelerou depois de tomar muito café, ficou assim por uns minutos e passou sozinho.",baixo risco
"Tive palpitações leves depois de tomar energético, passaram em alguns minutos sem nenhum incômodo.",baixo risco
"Sinto o coração acelerar às vezes depois de muito café, mas passa rápido e não causa desconforto.",baixo risco
"Palpitações ocasionais que aparecem depois de muito estresse e desaparecem sozinhas em minutos.",baixo risco
"Às vezes sinto o coração bater forte por alguns instantes, sem outros sintomas e passa logo.",baixo risco
"Tive coração acelerado depois de susto, passou rapidamente e não voltou, sem nenhuma dor.",baixo risco
"Palpitação leve depois de exercício intenso que passou com repouso em poucos minutos.",baixo risco
"Sinto às vezes batimento irregular por frações de segundo, passa sozinho sem nenhuma dor.",baixo risco
"Coração acelerou depois de situação estressante, passou em minutos e não trouxe desconforto.",baixo risco
"Palpitações ocasionais sem duração longa, sem tontura ou falta de ar, passam naturalmente.",baixo risco
"Minha pressão sobe às vezes, mas o médico ajustou a medicação e está controlada.",baixo risco
"Pressão levemente elevada que é acompanhada pelo médico e controlada com medicamento diário.",baixo risco
"Tenho pressão que fica um pouco alta às vezes, tomo o remédio certinho e está sob controle.",baixo risco
"A pressão subiu um pouco na semana passada mas voltou ao normal com o medicamento prescrito.",baixo risco
"Pressão ocasionalmente alta, mas bem controlada com tratamento médico e mudança de hábitos.",baixo risco
"Tenho histórico de pressão alta, mas está controlada com medicação e acompanhamento regular.",baixo risco
"Pressão um pouco elevada esta semana, vou conversar com o médico para ajustar a dose.",baixo risco
"A pressão fica levemente alta em momentos de estresse, mas normaliza com repouso e medicação.",baixo risco
"Pressão controlada com medicamento, está bem há meses sem nenhuma crise ou sintoma preocupante.",baixo risco
"Pressão levemente acima do normal hoje, sem sintomas associados, vou monitorar em casa.",baixo risco
"Tenho dor no peito ao apertar a musculatura torácica, piora quando respiro fundo ou tusso.",baixo risco
"A dor no peito piora quando aperto o músculo da costela com o dedo, é claramente muscular.",baixo risco
"Dor no peito que piora ao tossir e ao mudar de posição, não tem relação com esforço físico.",baixo risco
"Sinto dor na parede do tórax que piora ao pressionar com o dedo, típico de distensão muscular.",baixo risco
"Dor no peito que aumenta ao inspirar profundamente e melhora ao ficar imóvel, é muscular.",baixo risco
"Tenho dor no tórax que piora quando torço o corpo ou pressiono a costela, não cardíaca.",baixo risco
"Dor torácica que piora com movimento do tronco e toque local, sem relação com esforço.",baixo risco
"A dor no peito começou depois de carregar peso pesado, piora ao pressionar a costela.",baixo risco
"Sinto dor no peito ao respirar fundo ou tossir, piora com pressão local, origem muscular.",baixo risco
"Dor no tórax que piora ao apertar a região com o dedo, definitivamente não é do coração.",baixo risco
"Sou jovem, tenho vinte e dois anos, sinto um cansaço leve e os exames estão todos normais.",baixo risco
"Tenho vinte e cinco anos e às vezes sinto um leve desconforto no peito que passa sozinho sem dor.",baixo risco
"Sou jovem e saudável, sinto um cansaço leve que o médico avaliou e disse que não é nada sério.",baixo risco
"Tenho vinte e três anos, pratico esportes regularmente e sinto apenas um leve cansaço eventual.",baixo risco
"Vinte e oito anos, exames normais, sem histórico familiar de doenças cardíacas, queixa vaga leve.",baixo risco
"Sou jovem e o cardiologista descartou problemas cardíacos após os exames, estou bem.",baixo risco
"Tenho vinte anos, sinto algo vago no peito às vezes, mas médico avaliou e está tudo normal.",baixo risco
"Jovem de vinte e seis anos com leve desconforto esporádico, todos os exames dentro do padrão.",baixo risco
"Vinte e quatro anos, leve tontura eventual que o médico avaliou e atribuiu ao estresse.",baixo risco
"Jovem saudável com queixas vagas e inespecíficas, avaliação médica completa sem achados relevantes.",baixo risco
